1959	2.45	1.47
1960	2.57	1.46
1961	2.58	1.53
1962	2.69	1.52
1963	2.83	1.53
1964	3.00	1.52
1965	3.13	1.55
1966	3.29	1.55
1967	3.39	1.59
1968	3.57	1.55
1969	3.78	1.54
1970	4.05	1.53
1971	4.21	1.40
1972	4.38	1.33
1973	4.61	1.32
1974	4.62	1.29
1975	4.60	1.30
1976	4.86	1.32
1977	5.03	1.35
1978	5.09	1.30
1979	5.37	1.25
1980	5.32	1.24
1981	5.15	1.25
1982	5.11	1.26
1983	5.09	1.43
1984	5.28	1.46
1985	5.44	1.50
1986	5.61	1.53
1987	5.75	1.51
1988	5.97	1.51
1989	6.10	1.53
1990	6.13	1.44
1991	6.22	1.64
1992	6.16	1.68
1993	6.16	1.55
1994	6.27	1.50
1995	6.40	1.49
1996	6.54	1.47
1997	6.65	2.29
1998	6.64	1.59
1999	6.61	1.34
2000	6.77	1.23
2001	6.93	0.97
2002	7.00	1.05
2003	7.42	0.90
2004	7.81	1.03
2005	8.09	1.03
2006	8.37	1.01
2007	8.57	0.94
2008	8.78	0.66
2009	8.74	0.71
2010	9.17	0.83
2011	9.46	0.88
2012	9.67	0.93
2013	9.86	0.89
