   0.65   0.75   0.32   1.23   0.94   1.15   1.09   1.40   1.35   2.34   2.91   3.19   3.20   2.31   1.83   1.10
   0.56   0.44   0.11   0.47   0.49   0.98   1.03   1.38   1.93   2.65   2.94   3.23   3.34   2.70   2.74   2.40
   0.41   0.41  -0.09   1.25   0.93   1.04   1.36   1.94   1.81   2.49   2.85   3.27   3.40   2.79   2.43   1.27
   0.14   0.25   0.45   0.69   0.86   0.85   1.30   1.34   1.28   2.55   2.85   3.14   3.05   2.06   1.53   1.67
   0.44   0.36   0.21   1.13   0.76   0.43   1.67   1.59   1.75   2.63   3.00   3.04   2.32   1.77   1.99   1.46
   0.08   0.70   0.71   1.35   1.29   1.68   1.63   1.67   1.75   2.41   2.91   3.29   3.42   3.07   2.44   1.69
   0.58   0.80   0.45   0.98   1.23   0.89   1.57   1.79   1.61   2.59   2.79   3.27   3.27   2.68   1.50   1.02
   0.63   0.67   0.60   0.82   1.43   1.47   1.93   1.61   1.92   2.76   2.76   3.24   3.48   2.87   2.90   2.49
   0.49   0.60   1.14   1.34   1.17   1.19   1.58   1.85   2.19   2.77   2.79   3.13   3.19   2.77   2.38   1.41
   0.45   0.76   0.54   0.77   0.76   0.70   1.43   1.83   1.83   2.35   2.94   3.32   3.30   2.60   2.21   1.72
   0.93   0.95   0.82   1.13   1.37   1.07   1.45   1.05   1.72   2.72   3.20   3.46   3.57   3.25   2.96   2.11
   0.78   0.70   0.73   1.22   1.38   1.19   1.78   1.60   1.67   2.71   2.80   3.18   3.03   1.99   1.32   1.41
   0.41   0.80   0.26   1.39   1.30   0.91   1.24   1.67   1.53   2.66   2.95   3.54   3.55   3.26   3.00   2.40
   0.89   0.41   0.38   1.03   0.94   0.81   1.54   1.77   1.73   2.38   2.84   3.04   2.79   1.80   1.28   1.10
   0.20   0.14  -0.06   0.75   0.61   0.81   1.46   1.41   1.26   2.50   2.89   3.27   3.23   2.64   2.10   1.50
   0.61   0.85   0.50   1.23   1.59   1.62   1.54   1.67   2.20   2.83   2.91   3.44   3.32   2.61   1.77   1.13
   0.52   0.31   0.38   0.90   0.90   1.11   1.44   1.52   1.74   2.31   2.86   3.51   3.57   3.22   2.81   2.95
   0.55   0.58   0.69   1.19   1.01   0.85   1.53   1.26   1.58   2.73   2.88   3.27   3.32   3.21   2.87   2.32
   0.59   0.54   0.39   1.13   1.22   1.24   1.46   1.98   1.68   2.71   2.99   3.52   3.50   3.07   3.07   2.43
   0.63   0.49   0.67   0.92   0.65   1.09   1.16   1.40   1.73   2.83   2.81   3.10   3.11   2.32   0.84   0.37
   0.35   1.09   0.64   1.32   1.02   1.09   1.78   1.66   1.39   2.48   2.86   3.28   3.50   3.02   2.84   2.28
   0.21   0.93   0.77   0.69   1.59   1.31   1.73   1.52   1.64   2.68   2.95   3.56   3.66   3.02   2.67   1.33
   0.61   0.67   0.46   1.00   0.82   0.91   1.38   1.55   2.13   2.91   2.72   3.04   3.27   2.43   2.43   1.57
   0.59   0.27   0.35   0.88   0.88   0.93   1.28   1.94   2.03   2.52   3.00   3.39   3.35   3.00   2.84   2.00
   0.71   0.97   0.56   0.93   1.27   0.97   1.49   1.99   1.84   2.52   2.87   3.30   3.22   2.81   2.44   1.72
   0.38   0.43   0.25   1.16   0.92   0.97   1.35   1.73   1.69   2.75   2.63   3.12   3.31   3.03   2.69   2.23
   0.66   1.23   0.52   1.29   0.95   1.32   1.82   1.72   1.90   2.53   2.89   3.13   3.03   2.48   1.24   0.32
   0.45   0.56   0.48   0.66   0.75   0.84   1.29   1.84   1.95   2.46   2.46   3.13   3.30   2.91   2.41   1.90
   0.68   0.40   0.04   0.80   0.76   1.22   1.40   1.53   1.66   2.60   2.75   3.15   2.90   2.54   2.20   1.66
   0.39   0.34   0.35   0.96   1.09   0.90   1.57   1.50   2.01   2.58   2.98   3.40   3.39   2.76   2.21   2.13
   0.59   0.63   0.05   0.96   0.89   0.70   1.43   1.40   1.44   2.44   2.65   3.24   3.43   3.22   2.83   1.57
   0.77   0.90   0.62   1.09   1.14   1.44   1.48   1.61   1.52   2.72   2.95   3.51   3.63   3.22   2.87   2.55
   0.34   1.01  -0.02   1.15   0.88   1.14   1.54   1.77   1.46   2.34   2.95   3.65   3.98   3.56   3.20   2.65
   0.17   0.46  -0.02   0.60   0.71   1.14   1.43   1.46   1.82   2.58   2.87   3.27   3.39   2.89   2.22   1.57
   0.10   0.42   0.33   0.93   0.95   0.83   1.19   1.62   1.73   2.54   2.86   3.47   3.80   2.87   2.18   1.72
   0.51   0.63   0.49   1.23   0.95   1.00   1.65   1.59   1.93   2.47   2.94   3.35   3.48   2.77   2.52   1.62
   0.32   0.54   0.52   1.01   1.31   1.09   1.89   2.09   2.11   2.37   3.10   3.70   3.62   2.90   2.95   2.15
   0.51   0.78   0.22   1.35   1.02   0.95   1.62   1.70   2.04   2.68   2.87   3.33   3.49   3.09   2.82   1.92
   0.43   0.73   0.65   1.29   0.92   1.38   1.62   1.56   1.90   2.65   2.72   3.17   3.43   3.24   2.82   2.32
   0.56   0.19   0.59   0.97   1.32   1.15   1.95   2.02   2.24   2.63   2.98   3.23   3.29   2.88   2.22   0.75
